（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0FTZ2HDHD,B0FTZ3WL75,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, M, タイプ1)",30,1,0.02%,0.07%,33,1,0.02%,0.06%,96.97%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ2HDHD,B0FTZ3ZRQJ,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, M, タイプ2)",6,1,0.00%,0.07%,6,1,0.00%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ43CC5,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, M, タイプ4)",9,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ47LMD,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, M, タイプ5)",26,0,0.02%,0.00%,35,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ49C9Q,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, 2XL, タイプ4)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ2HDHD,B0FTZ49MYW,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, L, タイプ4)",12,0,0.01%,0.00%,14,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ4B4GC,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, M, タイプ6)",3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ2HDHD,B0FTZ4FSLD,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, XL, タイプ3)",4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ4HWXN,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, M, タイプ1)",24,0,0.02%,0.00%,27,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ2HDHD,B0FTZ4KD7R,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, M, タイプ3)",4,1,0.00%,0.07%,5,1,0.00%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ4S127,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, M, タイプ1)",15,1,0.01%,0.07%,19,1,0.01%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ4ZYNP,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, XL, タイプ1)",8,1,0.01%,0.07%,9,1,0.00%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ51RTN,[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン,3,0,0.00%,0.00%,4,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ583H7,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, M, タイプ4)",12,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ5979D,B0FTZ5979D,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, L, ブラック)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ5G2XV,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, 3XL, タイプ6)",4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ5H9BW,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, 3XL, タイプ4)",2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ5R78L,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, L, タイプ1)",5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ2HDHD,B0FTZ5WPRM,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, XL, タイプ1)",6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ5X8JJ,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, M, タイプ2)",9,0,0.01%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ645XC,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, L, タイプ5)",5,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ64FX5,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, L, タイプ3)",3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ65QMX,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, XL, タイプ3)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ2HDHD,B0FTZ6NSJ4,"[&mellow] 綿 ハイウエストショーツ 3枚セット レディース 深履き 深め 温活ショーツ 鼠径部 締め付けない コットン お尻すっぽり お腹すっぽり パンツ インナー 冷え対策 大きいサイズ 3L セットショーツ 黒 下着 M/L/XL/2XL (JP, アルファベット, M, タイプ4)",16,1,0.01%,0.07%,21,1,0.01%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ51RTN,B0FTZ6Q6TD,"[&mellow] ハイウエストショーツ レディース 綿 3枚セット ショーツ 深履き レース パンツ 深め 下着 黒 お腹すっぽり 温活ショーツ 補正 骨盤 美尻 大きいサイズ 3L4L 無地 コットン (JP, アルファベット, L, タイプ2)",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ6T5X1,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, 2XL, タイプ3)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ73BYJ,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー(JP, アルファベット, XL, タイプ2)",2,1,0.00%,0.07%,2,1,0.00%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ74CYM,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, XL, タイプ4)",6,1,0.00%,0.07%,6,1,0.00%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ7CW4H,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, 2XL, タイプ1)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ7NF6B,"[&mellow] 3枚セット シームレスショーツ レディース ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー デイリー (JP, アルファベット, 2XL, タイプ5)",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ7X227,"[&mellow] 3枚セット シームレスショーツ レディース ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー デイリー (JP, アルファベット, M, タイプ3)",9,0,0.01%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ7YYK5,[&mellow] 3枚セット シームレスショーツ レディース ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 深め 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー デイリー,3,1,0.00%,0.07%,4,1,0.00%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ7YYK5,B0FTZ8Z5YR,"[&mellow] 3枚セット シームレスショーツ レディース 深め シームレスパンツ ハイウエスト 無縫製 深履き 下着 クロッチ綿100％ パンツ シームレス 吸汗速乾 通気性 食い込みにくい 大きいサイズ M L LL 3L 黒 インナー (JP, アルファベット, 2XL, タイプ4)",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FTZ9MNZ3,B0FTZ9MNZ3,[&mellow] カップ付きインナー タンクトップ レディース アンダーゴムなし シームレスブラ 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ モカ ベージュ ブラック M/L/XL/3L,44,1,0.03%,0.07%,77,1,0.04%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX4X4JB,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ8)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX624CB,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, XL, タイプ1)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX6NQ5G,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, M, タイプ4)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX6ZVFH,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, M, タイプ6)",7,0,0.01%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX7QRT8,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, M, タイプ1)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX7S9LM,[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性,3,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX8664P,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, 2XL, タイプ2)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX88XVH,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ7)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX8JZRJ,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ1)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX9RXNW,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, L, タイプ6)",1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVX7S9LM,B0FVX9STDL,"[&mellow] 温活ショーツ 3枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, 2XL, タイプ3)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXDBNZC,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, M, チェスナット)",25,0,0.02%,0.00%,27,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXDF46R,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, 2XL, チェスナット)",53,0,0.04%,0.00%,60,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXDXM1G,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, M, モカ)",57,0,0.04%,0.00%,61,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXG4VF9,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, XL, エクリュ)",29,3,0.02%,0.22%,30,3,0.02%,0.17%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXG8BVY,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ(JP, アルファベット, XL, チェスナット)",19,0,0.01%,0.00%,22,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXGPHHZ,[&mellow] ノンワイヤーブラ レディース 脇肉補正 脇高設計 背中スッキリ 美シルエット 通気性 幅広ストラップ 4列4段ホック 補正下着 盛れる ブラジャー バストアップ 肌に優しい 大きいサイズ エクリュ モカ チェスナット ブラック,9,1,0.01%,0.07%,14,1,0.01%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXGWM5L,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, M, ブラック)",25,0,0.02%,0.00%,27,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXH2GCW,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, 2XL, ブラック)",22,0,0.02%,0.00%,24,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXHC7XZ,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, 2XL, モカ)",46,0,0.03%,0.00%,59,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXHDCCY,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, L, エクリュ)",36,0,0.03%,0.00%,44,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXHYMH8,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, XL, ブラック)",22,1,0.02%,0.07%,27,1,0.01%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FVXGPHHZ,B0FVXJ3WRP,"[&mellow] 脇高 ノンワイヤーブラ レディース 脇肉補正 ナイトブラ シームレス 昼夜兼用 大きいサイズ ノンワイヤー ブラジャー 補正下着 バストアップ 大きな胸を小さく見せる 幅広ストラップ 肩こり軽減 黒 ベージュ (JP, アルファベット, 2XL, エクリュ)",71,1,0.05%,0.07%,88,1,0.05%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FX31D7CG,B0FX31D7CG,"[&mellow] 6枚セット ショーツ レディース シームレス 可愛い レース付き セクシー 下着 クロッチ綿100％ 高通気性 伸縮性 蒸れにくい 抗菌 防臭 締め付けない パンティー 大きいサイズ 女性用 (JP, アルファベット, L, ダーク)",4,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FX365TCQ,B0FX365TCQ,"[&mellow] 6枚セット ショーツ レディース シームレス 可愛い レース付き セクシー 下着 クロッチ綿100％ 高通気性 伸縮性 蒸れにくい 抗菌 防臭 締め付けない パンティー 大きいサイズ 女性用 (JP, アルファベット, M, ダーク)",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FX38J4GQ,B0FX38J4GQ,"[&mellow] 6枚セット ショーツ レディース シームレス 可愛い レース付き セクシー 下着 クロッチ綿100％ 高通気性 伸縮性 蒸れにくい 抗菌 防臭 締め付けない パンティー 大きいサイズ 女性用 (JP, アルファベット, 2XL, ダーク)",3,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FX3DTNXX,B0FX3DTNXX, ,2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FXBGCDN7,B0FXBGCDN7,[&mellow] 超極暖 裏起毛 インナー ブラック 黒 高密度ベルベット素材 体感＋5℃ ストレッチ長袖インナー レディース 防寒 吸汗速乾 抗菌 ふんわり裏起毛 M/L/2L/3L,92,5,0.07%,0.37%,104,6,0.05%,0.33%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FXTTNTLG,B0FXTRXCGT,"[&mellow] ブラトップ カップ付きインナー タンクトップ レディース 大きいサイズ ノンワイヤー インナー キャミソール ブラジャー 3L 4L 汗取り 黒 ナイトブラ 昼夜兼用 パッド付き (JP, アルファベット, 2XL, ミストブルー)",74,0,0.05%,0.00%,87,0,0.05%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
