（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0FTZ9MNZ3,B0FTZ764P5,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー(JP, アルファベット, M, ブラック)",644,13,0.47%,0.96%,847,16,0.45%,0.89%,98.96%,100.00%,62,1,9.63%,7.69%,"￥101,628","￥1,698",50,1
B0FLTG77WW,B0FLTDQZVG,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, XL, タイプ1)",563,4,0.41%,0.30%,726,4,0.38%,0.22%,100.00%,100.00%,50,0,8.88%,0.00%,"￥92,300",￥0,49,0
B0FTZ9MNZ3,B0FTZ5VMR8,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, ベージュ)","1,491",16,1.08%,1.19%,"2,142",30,1.13%,1.67%,99.79%,100.00%,55,0,3.69%,0.00%,"￥90,858",￥0,49,0
B0FM3HNLQL,B0FM3FW7KV,"[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ インナー 還暦 赤いショーツ 温活ショーツ 深履き 深め お尻すっぽり M/L/XL/2XL/3XL (JP, アルファベット, 3XL, レッド)",287,3,0.21%,0.22%,417,3,0.22%,0.17%,100.00%,100.00%,49,0,17.07%,0.00%,"￥61,706",￥0,46,0
B0FLXCRNJZ,B0FLXD346X,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (ミストグレー, 38/85)",629,2,0.46%,0.15%,790,2,0.42%,0.11%,100.00%,100.00%,46,0,7.31%,0.00%,"￥81,552",￥0,45,0
B0FLXCRNJZ,B0FLXCZJZY,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (アッシュブルー, 38/85)",470,0,0.34%,0.00%,614,0,0.32%,0.00%,99.82%,0.00%,43,0,9.15%,0.00%,"￥76,006",￥0,43,0
B0FLTG77WW,B0FLTM2FRR,"[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 インナー お腹すっぽり 綿混 大きいサイズ 快適 蒸れにくい コットンショーツ セット通気性 (JP, アルファベット, M, タイプ1)","1,079",10,0.78%,0.74%,"1,437",14,0.76%,0.78%,100.00%,84.62%,40,2,3.71%,20.00%,"￥74,720","￥3,796",40,2
B0FLXCRNJZ,B0FLXC4TX6,"[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット 盛れる 黒 ベージュ 透けない (フェザーベージュ, 36/80)",512,4,0.37%,0.30%,638,4,0.34%,0.22%,100.00%,100.00%,43,0,8.40%,0.00%,"￥77,148",￥0,40,0
B0FLXCRNJZ,B0FLXCXBTX,"[&mellow] ノンワイヤー 脇高ブラ＆ショーツセット ふんわり谷間メイク 背中すっきり 快適フィット シームレスデザイン (モーヴピンク, 38/85)",772,2,0.56%,0.15%,999,2,0.53%,0.11%,100.00%,0.00%,40,0,5.18%,0.00%,"￥70,670",￥0,39,0
B0FSZR223X,B0FSZQLYR7, ,"1,724",18,1.25%,1.33%,"2,293",27,1.21%,1.51%,99.91%,69.23%,39,0,2.26%,0.00%,"￥82,780",￥0,39,0
B0FTZ9MNZ3,B0FTZ6KK7X,"[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, 2XL, ブラック)",438,7,0.32%,0.52%,609,7,0.32%,0.39%,99.45%,60.00%,49,0,11.19%,0.00%,"￥80,594",￥0,39,0
