amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-3441498-3635009	250-3441498-3635009	2026-02-28T00:08:02+09:00	2026-02-28T06:10:42+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-A-04	B0FLXBSJZD	Shipped	1	JPY	1798.0	163.0								埼玉県	335-0005	JP	
503-0072669-8657404	503-0072669-8657404	2026-02-27T23:58:27+09:00	2026-03-01T00:12:31+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] レディース 赤いパンツ 2枚セット 綿 ハイウエスト レース付き 大きいサイズ 運気アップ 開運 パンツ イ	30817R-C-01	B0FM3HQB4L	Shipped	2	JPY	2596.0	236.0								宮城県	982-0812	JP	
503-8192724-5883044	503-8192724-5883044	2026-02-27T23:32:40+09:00	2026-03-01T00:27:45+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-01	B0FLXBR4ZS	Shipped	1	JPY	1798.0	163.0								富山県	933-0857	JP	
249-9542403-2665447	249-9542403-2665447	2026-02-27T22:44:43+09:00	2026-02-28T06:06:57+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-B-01	B0FLTFV6N2	Shipped	1	JPY	1898.0	173.0								大阪府	544-0004	JP	
249-3142286-1127053		2026-02-27T22:29:02+09:00	2026-02-28T09:50:19+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, ベージュ)	30713-A-03	B0FTZ5VMR8	Shipped	1	JPY	1698.0	154.0								三重県	510-0243	JP	
250-5419570-9452613	250-5419570-9452613	2026-02-27T22:27:16+09:00	2026-02-28T10:07:13+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] 温活ショーツ 5枚セット 綿ショーツ ハイウエスト レディース 深履き 深め 黒 パンツ 下着 冷え対策 イ 	30815-C-07	B0GNJP8D6R	Shipped	1	JPY	1998.0	182.0								鹿児島県	897-0001	JP	
503-7320026-2003864	503-7320026-2003864	2026-02-27T21:08:55+09:00	2026-02-28T06:04:49+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[&mellow] ノンワイヤーブラセット シームレスブラ シームレスショーツ 脇高ブラ＆ショーツセット ふんわり谷間 	30902-B-08	B0FLXCTBF5	Shipped	1	JPY	1798.0	163.0								東京都	121-0801	JP	
250-5021173-3804639		2026-02-27T21:05:33+09:00	2026-03-02T16:15:24+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	[&mellow] カップ付きインナー タンクトップ レディース アンダーゴムなし シームレスブラ 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ モカ ベージュ ブラック M～3L (JP, アルファベット, L, ベージュ)	30713-B-03	B0FTZ5HM4N	Shipped	1	JPY	1698.0	154.0								愛媛県	798-0099	JP	
250-9477386-1459834		2026-02-27T20:58:52+09:00	2026-02-28T09:48:29+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー (JP, アルファベット, M, ベージュ)	30713-A-03	B0FTZ5VMR8	Shipped	1	JPY	1698.0	154.0								Osaka-fu	550-0023	JP	
250-7788743-1508654		2026-02-27T20:54:31+09:00	2026-02-28T09:49:24+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		NextDay	[&mellow] カップ付きインナー ブラトップ アンダーゴムなし カップ付きタンクトップ レディース シームレスブラ アンダーゴムフリー 速乾 ストレッチ素材 インナー ノンワイヤー 大きいサイズ シームレス 防寒 保温 ノンワイヤーブラジャー(JP, アルファベット, M, ブラック)	30713-A-01	B0FTZ764P5	Shipped	1	JPY	1698.0	154.0								愛知県	441-3147	JP	
