※この情報は店舗様および楽天市場での重要な情報となります。データの取扱には十分にご注意ください。

データ対象期間,2025/10/01 ～ 2025/10/31
カタログID,商品管理番号,商品番号,商品名,SKU管理番号,システム連携用SKU番号,"SKU項目1","SKU項目2","SKU項目3","SKU項目4","SKU項目5","SKU項目6",売上金額,売上件数,売上個数
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-A-04","","3枚セットD","M","","","","",990,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-B-01","","3枚セットA","L","","","","",990,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-B-02","","3枚セットB","L","","","","",990,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-B-05","","3枚セットE","L","","","","",1990,2,2
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-3-D-01","","3枚セットA","3L","","","","",990,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5-A-01","","5枚セットA","M","","","","",1490,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5-A-03","","5枚セットC","M","","","","",1490,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5-B-02","","5枚セットB","L","","","","",1490,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5-C-03","","5枚セットC","LL","","","","",2980,2,2
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5-C-04","","5枚セットD","LL","","","","",2980,2,2
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-A-03","","5枚セット【C】","M","","","","",1690,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-B-01","","5枚セット【A】","L","","","","",1690,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-B-04","","5枚セット【D】","L","","","","",3380,2,2
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-B-06","","5枚セット【F】","L","","","","",3380,2,2
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-C-01","","5枚セット【A】","LL","","","","",1690,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-C-04","","5枚セット【D】","LL","","","","",1690,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-5s-D-06","","5枚セット【F】","3L","","","","",1690,1,1
"","30827","","【マラソン限定10%OFFクーポン◆新色】5枚セット★7枚セット シームレスショーツ レディース 深ばき ハイウエスト 深履き 食い込まない ショーツ シームレスパンツ 締め付けない 大きいサイズ 3L クロッチ綿100％ ヨガ ボクサー 下着 女性 セット 送料無料","30827-7s-A-02","","7枚セット【B】","M","","","","",2190,1,1
